game_id,team_home,team_away,goals_home,goals_away,OT,points_home,points_away,home_wins,season
/zapas/2526136,Washington Capitals,Toronto Maple Leafs,0,2,0,0.0,3.0,0.0,2017
/zapas/2526137,Philadelphia Flyers,Florida Panthers,5,1,0,3.0,0.0,1.0,2017
/zapas/2526138,New Jersey Devils,Tampa Bay Lightning,5,4,1,2.0,1.0,1.0,2017
/zapas/2526139,Ottawa Senators,Vancouver Canucks,0,3,0,0.0,3.0,0.0,2017
/zapas/2526140,Nashville Predators,Colorado Avalanche,4,1,0,3.0,0.0,1.0,2017
/zapas/2526141,Winnipeg Jets,Columbus Blue Jackets,2,5,0,0.0,3.0,0.0,2017
/zapas/2526142,Dallas Stars,Arizona Coyotes,3,1,0,3.0,0.0,1.0,2017
/zapas/2526143,Edmonton Oilers,Carolina Hurricanes,3,5,0,0.0,3.0,0.0,2017
/zapas/2526144,Vegas Golden Knights,Buffalo Sabres,5,4,1,2.0,1.0,1.0,2017
/zapas/2526145,San Jose Sharks,Montreal Canadiens,5,2,0,3.0,0.0,1.0,2017
/zapas/2526146,Toronto Maple Leafs,Detroit Red Wings,6,3,0,3.0,0.0,1.0,2017
/zapas/2526147,St. Louis Blues,Chicago Blackhawks,5,2,0,3.0,0.0,1.0,2017
/zapas/2526148,Los Angeles Kings,Montreal Canadiens,5,1,0,3.0,0.0,1.0,2017
/zapas/2526149,New York Rangers,New York Islanders,3,4,1,1.0,2.0,0.0,2017
/zapas/2526150,Columbus Blue Jackets,Tampa Bay Lightning,0,2,0,0.0,3.0,0.0,2017
/zapas/2526151,Philadelphia Flyers,Nashville Predators,0,1,0,0.0,3.0,0.0,2017
/zapas/2526152,Boston Bruins,Vancouver Canucks,6,3,0,3.0,0.0,1.0,2017
/zapas/2526153,Ottawa Senators,New Jersey Devils,4,5,1,1.0,2.0,0.0,2017
/zapas/2526154,Chicago Blackhawks,Edmonton Oilers,1,2,1,1.0,2.0,0.0,2017
/zapas/2526155,Calgary Flames,Carolina Hurricanes,1,2,0,0.0,3.0,0.0,2017
/zapas/2526156,Colorado Avalanche,St. Louis Blues,3,4,0,0.0,3.0,0.0,2017
/zapas/2526157,Arizona Coyotes,Dallas Stars,4,5,0,0.0,3.0,0.0,2017
